,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
0,1,240,3,3,4,-,acept,furnished,R$0,"R$8,000","R$1,000",R$121,"R$9,121"
1,0,64,2,1,1,10,acept,not furnished,R$540,R$820,R$122,R$11,"R$1,493"
2,1,443,5,5,4,3,acept,furnished,"R$4,172","R$7,000","R$1,417",R$89,"R$12,680"
3,1,73,2,2,1,12,acept,not furnished,R$700,"R$1,250",R$150,R$16,"R$2,116"
4,1,19,1,1,0,-,not acept,not furnished,R$0,"R$1,200",R$41,R$16,"R$1,257"
5,1,13,1,1,0,2,acept,not furnished,R$0,"R$2,200",R$42,R$28,"R$2,270"
6,1,55,1,1,1,2,acept,furnished,"R$1,950","R$5,000",R$375,R$64,"R$7,389"
7,1,55,2,2,1,2,acept,not furnished,R$600,"R$1,300",R$67,R$17,"R$1,984"
8,1,82,3,1,1,3,acept,furnished,R$828,"R$2,000",R$109,R$26,"R$2,963"
9,1,32,1,1,1,16,acept,not furnished,R$533,"R$2,900",R$0,R$37,"R$3,470"
10,0,60,1,1,0,6,acept,not furnished,R$480,R$720,R$20,R$10,"R$1,230"
11,0,64,1,2,1,4,acept,furnished,R$406,"R$1,550",R$0,R$7,"R$1,963"
12,1,20,1,1,0,4,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
13,1,375,4,5,5,1,acept,not furnished,"R$4,793","R$15,000","R$2,805",R$191,"R$22,790"
14,1,92,2,1,1,7,not acept,furnished,R$690,"R$3,950",R$0,R$51,"R$4,691"
15,0,56,2,1,1,1,acept,not furnished,R$345,R$950,R$11,R$13,"R$1,319"
16,0,188,2,3,8,-,acept,not furnished,R$0,"R$3,010",R$584,R$46,"R$3,640"
17,1,100,3,2,1,-,acept,not furnished,R$0,"R$3,500",R$260,R$53,"R$3,813"
18,1,192,3,3,2,13,acept,not furnished,"R$2,100","R$7,800",R$634,R$99,"R$10,630"
19,1,93,3,2,1,10,acept,not furnished,"R$1,497","R$3,500",R$227,R$45,"R$5,269"
20,1,155,3,3,2,-,acept,not furnished,R$0,"R$2,650",R$233,R$40,"R$2,923"
21,1,80,2,2,0,9,not acept,not furnished,R$600,"R$2,550",R$46,R$33,"R$3,229"
22,1,65,2,2,2,14,not acept,not furnished,R$907,"R$3,500",R$0,R$45,"R$4,452"
23,1,320,3,3,4,-,acept,not furnished,R$0,"R$9,000","R$1,000",R$136,"R$10,140"
24,1,180,3,5,3,3,acept,not furnished,"R$2,900","R$8,100",R$0,R$103,"R$11,100"
25,1,31,1,1,1,4,acept,not furnished,R$272,"R$3,200",R$64,R$41,"R$3,577"
26,1,105,4,2,2,3,acept,not furnished,"R$1,659","R$6,500",R$400,R$83,"R$8,642"
27,1,300,3,4,2,9,acept,furnished,"R$2,000","R$14,000","R$1,084",R$178,"R$17,260"
28,0,150,3,2,2,13,acept,not furnished,"R$1,370","R$1,800",R$250,R$23,"R$3,443"
29,1,130,3,3,2,-,acept,not furnished,R$0,"R$6,000",R$84,R$91,"R$6,175"
30,1,70,2,1,0,1,acept,not furnished,R$521,"R$3,000",R$50,R$39,"R$3,610"
31,1,120,3,1,4,-,acept,not furnished,R$0,"R$3,500",R$234,R$53,"R$3,787"
32,1,250,3,4,2,-,acept,not furnished,R$300,"R$3,480",R$360,R$53,"R$4,193"
33,1,50,1,1,0,1,acept,not furnished,R$325,"R$1,550",R$25,R$20,"R$1,920"
34,1,240,3,3,3,3,acept,not furnished,"R$4,132","R$3,800",R$952,R$49,"R$8,933"
35,1,250,4,4,2,-,not acept,not furnished,Sem info,"R$6,600",R$0,R$100,"R$6,700"
36,0,94,3,3,2,1,acept,not furnished,R$750,"R$2,200",R$192,R$28,"R$3,170"
37,1,176,3,4,3,4,acept,not furnished,"R$1,600","R$6,500",R$775,R$83,"R$8,958"
38,1,180,3,4,5,-,acept,not furnished,Sem info,"R$3,300",R$266,R$50,"R$3,616"
39,1,191,3,3,4,1,acept,furnished,"R$2,605","R$15,000","R$1,299",R$191,"R$19,100"
40,1,25,1,1,0,14,acept,not furnished,R$257,"R$1,698",R$0,R$22,"R$1,977"
41,1,800,4,5,4,9,acept,not furnished,"R$6,000","R$15,000","R$3,334",R$191,"R$24,530"
42,1,340,3,4,3,-,acept,furnished,R$0,"R$9,800",R$392,R$148,"R$10,340"
43,1,90,2,1,0,-,not acept,not furnished,R$0,"R$1,450",R$50,R$22,"R$1,522"
44,0,650,5,4,8,-,acept,furnished,R$0,"R$8,500",R$442,R$128,"R$9,070"
45,1,100,2,2,0,1,acept,not furnished,R$0,"R$2,700",R$265,R$35,"R$3,000"
46,1,230,4,4,4,1,acept,furnished,"R$2,300","R$13,500","R$1,084",R$172,"R$17,060"
47,1,190,2,3,2,-,acept,not furnished,R$0,"R$13,050","R$1,284",R$197,"R$14,530"
48,1,205,4,4,6,5,acept,not furnished,"R$2,450","R$2,720",R$959,R$35,"R$6,164"
49,1,96,3,3,2,8,acept,not furnished,R$866,"R$1,790",R$90,R$23,"R$2,769"
50,1,396,4,4,4,-,acept,not furnished,R$0,"R$10,000",R$750,R$151,"R$10,900"
